,Unnamed: 0,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,meat_type,PC1,PC2
0,1,Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,2.0,0.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0,Other,white,-1.1385848355893495,0.4168293520182041
1,2,Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,17.0,1.5,130,1580,62,2.0,18,46.0,6.0,20.0,20.0,Other,red,3.06621057437484,-0.6830995984357335
2,3,Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,27.0,3.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0,Other,red,6.533153548120749,-1.4168583509704802
3,4,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,10.0,0.5,155,1940,62,2.0,18,55.0,6.0,25.0,20.0,Other,white,2.2058685693342515,0.1945936270665222
4,5,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,12.0,0.5,120,1980,81,4.0,18,46.0,6.0,20.0,20.0,Other,white,2.974300570667641,0.6385138177678992
5,6,Mcdonalds,Big Mac,540,250,28,10.0,1.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0,Other,red,0.1455735895932159,-0.8192312495092342
6,7,Mcdonalds,Cheeseburger,300,100,12,5.0,0.5,40,680,33,2.0,7,15.0,10.0,2.0,10.0,Other,red,-1.9610614773983557,-0.7603129833748484
7,8,Mcdonalds,Classic Chicken Sandwich,510,210,24,4.0,0.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0,Other,white,-0.8171732042346262,-0.3749697390365361
8,9,Mcdonalds,Double Cheeseburger,430,190,21,11.0,1.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0,Other,red,-0.33945382487943426,-1.1428060049196687
9,10,Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,21.0,2.5,175,1290,42,3.0,10,51.0,20.0,6.0,20.0,Other,red,3.2672704859563133,-1.9780234673485446
10,11,Mcdonalds,Filet-O-Fish®,380,170,18,4.0,0.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0,Other,white,-1.77601587317903,-0.6435837820104934
11,12,Mcdonalds,Garlic White Cheddar Burger,620,300,34,13.0,1.5,95,790,48,3.0,11,32.0,10.0,10.0,35.0,Other,red,1.1067850765496359,-0.7975292590148853
12,13,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,7.0,0.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0,Other,white,0.2122367458073541,0.26170174488203707
13,14,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,9.0,0.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0,Other,white,0.9329154415806352,0.7289118756594231
14,15,Mcdonalds,Hamburger,250,70,8,3.0,0.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0,Other,red,-2.674464595799307,-0.6603912987736918
15,16,Mcdonalds,Lobster Roll,290,50,5,1.5,0.0,65,630,35,2.0,3,24.0,4.0,6.0,15.0,Other,white,-2.315025125288072,-0.4856684595504594
16,17,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,14.0,1.5,110,1260,40,3.0,10,37.0,6.0,15.0,15.0,Other,red,1.4583014236590035,-1.1497203082976115
17,18,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,8.0,0.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0,Other,white,0.9457865018123497,0.5828702305683354
18,19,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,9.0,0.5,95,1780,69,5.0,14,39.0,4.0,20.0,290.0,Other,white,3.20327965942702,3.853033272470869
19,20,Mcdonalds,McChicken,350,130,15,3.5,0.0,40,600,40,2.0,5,15.0,2.0,2.0,4.0,Other,white,-2.047965020526726,-0.654818243597353
20,21,Mcdonalds,McDouble,380,160,18,8.0,1.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0,Other,red,-0.914952616070907,-1.140723812079736
21,22,Mcdonalds,McRib,480,200,22,7.0,0.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0,Other,red,-0.6475403294899137,-0.5054162602607621
22,23,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,12.0,1.5,95,920,41,4.0,7,29.0,8.0,15.0,15.0,Other,red,0.7237924897535035,-1.0207590098285344
23,24,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,6.0,0.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0,Other,white,0.19485030548516302,0.6930565308781533
24,25,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,7.0,0.0,80,1430,69,6.0,12,31.0,8.0,15.0,30.0,Other,white,0.8103106078514275,1.079199468848065
25,26,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5.0,0.0,60,1050,64,4.0,11,28.0,4.0,10.0,20.0,Other,white,-0.2931251721550006,0.5641252775712527
