,Unnamed: 0,restaurant,item,calories,cal_fat,total_fat,sat_fat,trans_fat,cholesterol,sodium,total_carb,fiber,sugar,protein,vit_a,vit_c,calcium,salad,meat_type,PC1,PC2
0,1,Mcdonalds,Artisan Grilled Chicken Sandwich,380,60,7,2.0,0.0,95,1110,44,3.0,11,37.0,4.0,20.0,20.0,Other,white,0.1589368419026898,0.4958898428096578
1,2,Mcdonalds,Single Bacon Smokehouse Burger,840,410,45,17.0,1.5,130,1580,62,2.0,18,46.0,6.0,20.0,20.0,Other,red,0.3673578738169403,0.4290113664684544
2,3,Mcdonalds,Double Bacon Smokehouse Burger,1130,600,67,27.0,3.0,220,1920,63,3.0,18,70.0,10.0,20.0,50.0,Other,red,0.5392054339773374,0.3843969690100605
3,4,Mcdonalds,Grilled Bacon Smokehouse Chicken Sandwich,750,280,31,10.0,0.5,155,1940,62,2.0,18,55.0,6.0,25.0,20.0,Other,white,0.3247129051545383,0.48237734578226577
4,5,Mcdonalds,Crispy Bacon Smokehouse Chicken Sandwich,920,410,45,12.0,0.5,120,1980,81,4.0,18,46.0,6.0,20.0,20.0,Other,white,0.36280212830539826,0.5093688218762008
5,6,Mcdonalds,Big Mac,540,250,28,10.0,1.0,80,950,46,3.0,9,25.0,10.0,2.0,15.0,Other,red,0.2225893143829641,0.4207342160199179
6,7,Mcdonalds,Cheeseburger,300,100,12,5.0,0.5,40,680,33,2.0,7,15.0,10.0,2.0,10.0,Other,red,0.11816876315027784,0.4243165963783102
7,8,Mcdonalds,Classic Chicken Sandwich,510,210,24,4.0,0.0,65,1040,49,3.0,6,25.0,0.0,4.0,2.0,Other,white,0.17486840036031392,0.4477464452236258
8,9,Mcdonalds,Double Cheeseburger,430,190,21,11.0,1.0,85,1040,35,2.0,7,25.0,20.0,4.0,15.0,Other,red,0.19854773699930928,0.401060048324453
9,10,Mcdonalds,Double Quarter Pounder® with Cheese,770,400,45,21.0,2.5,175,1290,42,3.0,10,51.0,20.0,6.0,20.0,Other,red,0.3773239031150829,0.3502767033840757
10,11,Mcdonalds,Filet-O-Fish®,380,170,18,4.0,0.0,40,640,38,2.0,5,15.0,2.0,0.0,15.0,Other,white,0.12734100389502223,0.431414028561136
11,12,Mcdonalds,Garlic White Cheddar Burger,620,300,34,13.0,1.5,95,790,48,3.0,11,32.0,10.0,10.0,35.0,Other,red,0.2702341271423545,0.4220537522110822
12,13,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,180,20,7.0,0.0,125,1150,48,3.0,11,42.0,10.0,20.0,35.0,Other,white,0.22589363776951618,0.486457689942473
13,14,Mcdonalds,Crispy Garlic White Cheddar Chicken Sandwich,700,300,34,9.0,0.0,85,1190,67,5.0,11,33.0,10.0,15.0,35.0,Other,white,0.26161585081601557,0.5148652535988989
14,15,Mcdonalds,Hamburger,250,70,8,3.0,0.0,30,480,31,2.0,6,13.0,2.0,2.0,4.0,Other,red,0.08280718200042664,0.4303920888151751
15,16,Mcdonalds,Lobster Roll,290,50,5,1.5,0.0,65,630,35,2.0,3,24.0,4.0,6.0,15.0,Other,white,0.10062368388709073,0.4410156816067244
16,17,Mcdonalds,Maple Bacon Dijon 1/4 lb Burger,640,330,36,14.0,1.5,110,1260,40,3.0,10,37.0,6.0,15.0,15.0,Other,red,0.28765789991989527,0.40063964110207123
17,18,Mcdonalds,Grilled Maple Bacon Dijon Chicken Sandwich,580,190,21,8.0,0.0,135,1890,50,3.0,14,48.0,4.0,30.0,30.0,Other,white,0.2622538365902978,0.5059855503216791
18,19,Mcdonalds,Crispy Maple Bacon Dijon Chicken Sandwich,740,310,35,9.0,0.5,95,1780,69,5.0,14,39.0,4.0,20.0,290.0,Other,white,0.37415204032559357,0.7048197764228269
19,20,Mcdonalds,McChicken,350,130,15,3.5,0.0,40,600,40,2.0,5,15.0,2.0,2.0,4.0,Other,white,0.11386117517753179,0.4307309447372828
20,21,Mcdonalds,McDouble,380,160,18,8.0,1.0,70,840,34,2.0,7,23.0,10.0,2.0,10.0,Other,red,0.17002172319105313,0.4011866509423092
21,22,Mcdonalds,McRib,480,200,22,7.0,0.0,80,870,45,2.0,12,25.0,2.0,2.0,6.0,Other,red,0.18327667124005573,0.43981496512221896
22,23,Mcdonalds,Pico Guacamole 1/4 lb Burger,580,300,33,12.0,1.5,95,920,41,4.0,7,29.0,8.0,15.0,15.0,Other,red,0.2512501570860711,0.40848081588434754
23,24,Mcdonalds,Grilled Pico Guacamole Chicken Sandwich,520,160,18,6.0,0.0,115,1540,50,4.0,12,40.0,8.0,25.0,30.0,Other,white,0.2250318360693242,0.5126851574875363
24,25,Mcdonalds,Crispy Pico Guacamole Chicken Sandwich,680,280,32,7.0,0.0,80,1430,69,6.0,12,31.0,8.0,15.0,30.0,Other,white,0.25553864051870545,0.5361636297385719
25,26,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,200,23,5.0,0.0,60,1050,64,4.0,11,28.0,4.0,10.0,20.0,Other,white,0.20084413067999626,0.5048458095274988
26,27,Mcdonalds,Premium Crispy Chicken Deluxe Sandwich,530,200,22,4.0,0.0,45,1000,59,3.0,13,25.0,6.0,10.0,20.0,Other,white,0.1858062123417126,0.4981362331558178
27,28,Mcdonalds,Quarter Pounder® with Cheese,530,240,27,13.0,1.5,100,1090,41,3.0,10,31.0,20.0,6.0,15.0,Other,red,0.2473632941697535,0.40614344417344683
28,29,Mcdonalds,Signature Sriracha Burger,670,320,35,12.0,1.5,95,1010,56,4.0,13,32.0,20.0,15.0,30.0,Other,red,0.28464289795069575,0.45187209389514366
29,30,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,180,20,5.0,0.0,115,1550,56,4.0,14,41.0,20.0,25.0,30.0,Other,white,0.23517039826974417,0.5264168163962683
30,31,Mcdonalds,Crispy Signature Sriracha Chicken Sandwich,730,300,33,7.0,0.0,80,1430,75,5.0,13,32.0,20.0,20.0,30.0,Other,white,0.26514833423746353,0.538964246448633
31,32,Mcdonalds,Sweet BBQ Bacon 1/4 lb Burger,690,340,37,14.0,1.5,110,1310,51,3.0,14,38.0,6.0,15.0,15.0,Other,red,0.3054254295540016,0.4220610057953912
32,33,Mcdonalds,Grilled Sweet BBQ Bacon Chicken Sandwich,630,200,22,7.0,0.0,135,1930,61,4.0,18,48.0,4.0,30.0,25.0,Other,white,0.276115949428048,0.5362407453872101
33,34,Mcdonalds,Crispy Sweet BBQ Bacon Chicken Sandwich,800,320,36,9.0,0.5,95,1820,80,5.0,18,39.0,4.0,20.0,30.0,Other,white,0.31622930414550965,0.5409817602091918
34,35,Mcdonalds,3 piece Buttermilk Crispy Chicken Tenders,370,190,21,3.5,0.0,70,910,16,0.0,0,28.0,0.0,0.0,2.0,Other,white,0.13361090343308707,0.3639797838305253
35,36,Mcdonalds,4 piece Buttermilk Crispy Chicken Tenders,480,250,28,4.5,0.0,95,1290,21,0.0,1,38.0,0.0,0.0,2.0,Other,white,0.18456558478995902,0.36618568537401497
36,37,Mcdonalds,6 piece Buttermilk Crispy Chicken Tenders,760,390,44,8.0,0.5,145,1890,32,1.0,1,58.0,0.0,0.0,2.0,Other,white,0.3012410395646887,0.3599172958310388
37,38,Mcdonalds,10 piece Buttermilk Crispy Chicken Tenders,1210,630,70,12.0,1.0,240,3230,52,1.0,4,94.0,0.0,0.0,4.0,Other,white,0.5014831604338846,0.35603909332386546
38,39,Mcdonalds,12 piece Buttermilk Crispy Chicken Tenders,1510,790,88,15.0,1.0,295,3770,64,1.0,2,115.0,0.0,2.0,6.0,Other,white,0.6129007233108342,0.34625793198445975
39,40,Mcdonalds,20 piece Buttermilk Crispy Chicken Tenders,2430,1270,141,24.0,2.0,475,6080,103,2.0,3,186.0,0.0,2.0,8.0,Other,white,1.0000000000000002,0.32821065028334717
40,41,Mcdonalds,4 Piece Chicken McNuggets,180,100,11,2.0,0.0,30,340,11,1.0,0,10.0,0.0,2.0,0.0,Other,white,0.05629822263018758,0.3772491062800541
41,42,Mcdonalds,6 Piece Chicken McNuggets,270,140,16,2.5,0.0,45,510,16,1.0,0,15.0,0.0,2.0,0.0,Other,white,0.08731418764658574,0.3780729853289057
42,43,Mcdonalds,10 Piece Chicken McNuggets,440,240,27,4.5,0.0,75,840,26,2.0,0,24.0,0.0,4.0,2.0,Other,white,0.15490288477676734,0.3893143669412338
43,44,Mcdonalds,20 Piece Chicken McNuggets,890,480,53,9.0,0.0,145,1680,53,4.0,0,49.0,0.0,8.0,4.0,Other,white,0.3226256178922434,0.4150917422002105
44,45,Mcdonalds,40 piece Chicken McNuggets,1770,960,107,18.0,0.5,295,3370,105,7.0,1,98.0,0.0,15.0,6.0,Other,white,0.6666457282005532,0.4407754421031772
45,46,Mcdonalds,4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,240,27,4.0,0.0,105,1780,63,2.0,35,39.0,4.0,15.0,4.0,Other,white,0.2731522618872653,0.5371327639166309
46,47,Mcdonalds,6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,360,40,6.0,0.0,160,2670,94,3.0,52,58.0,4.0,25.0,8.0,Other,white,0.41573441555356194,0.6236139584842753
47,48,Mcdonalds,10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,600,66,10.0,0.0,265,4450,156,5.0,87,97.0,8.0,40.0,10.0,Other,white,0.6998851382929009,0.7927211364490587
48,49,Mcdonalds,Premium Asian Salad w/o Chicken,140,70,7,0.5,0.0,0,20,13,5.0,7,7.0,180.0,45.0,10.0,Other,white,0.033378545307777396,0.515546081869866
49,50,Mcdonalds,Premium Asian Salad w/ Grilled Chicken,270,80,9,1.0,0.0,80,740,18,5.0,10,31.0,180.0,70.0,10.0,Other,white,0.1120901381124947,0.5440465495001258
50,51,Mcdonalds,Premium Asian Salad w/ Crispy Chicken,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Other,white,0.19181914560728663,0.4982837018896305
51,52,Mcdonalds,Premium Bacon Ranch Salad w/o Chicken,190,110,12,5.0,0.0,40,660,9,3.0,3,14.0,180.0,50.0,15.0,Other,white,0.08027379098630921,0.47771416830087143
52,53,Mcdonalds,Premium Bacon Ranch Salad w/ Grilled Chicken,320,120,14,6.0,0.0,45,1230,9,3.0,4,42.0,180.0,60.0,15.0,Other,white,0.13611680698221923,0.4951215665595423
53,54,Mcdonalds,Premium Bacon Ranch Salad w/ Crispy Chicken,490,250,28,8.0,0.0,95,1120,28,4.0,4,33.0,180.0,60.0,15.0,Other,white,0.19181914560728663,0.4982837018896305
54,55,Mcdonalds,Premium Southwest Salad w/o Chicken,220,90,10,3.5,0.0,15,500,26,6.0,9,8.0,180.0,40.0,20.0,Other,white,0.07957594107854682,0.5447686819180674
